Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[181]   0.01  5.1e-4 8.4e-3 1.8e-3 5.7e-3 9.2e-3   0.01   0.04    276   1.01
var_ind_temporal[182] 7.1e-3  9.2e-4 9.8e-3 4.0e-4 2.2e-3 4.4e-3 8.7e-3   0.03    114   1.03
var_ind_temporal[183]   0.03  1.7e-3   0.03 1.9e-3   0.01   0.03   0.04    0.1    238   1.01
var_ind_temporal[184] 5.1e-3  6.5e-4 7.3e-3 3.4e-4 1.4e-3 2.9e-3 5.7e-3   0.03    126   1.05
var_ind_temporal[185]   0.02  1.8e-3   0.02 8.1e-4 3.9e-3 9.3e-3   0.02   0.07    133   1.02
var_ind_temporal[186]   0.01  8.6e-4   0.01 7.5e-4 3.7e-3 7.3e-3   0.01   0.04    170   1.01
var_ind_temporal[187]   0.01  6.2e-4 9.4e-3 1.1e-3 3.9e-3 7.4e-3   0.01   0.04    227   1.02
var_ind_temporal[188]   0.01  3.7e-4 7.4e-3 2.3e-3 5.7e-3 9.3e-3   0.01   0.03    413    1.0
var_ind_temporal[189]   0.01  1.0e-3   0.01 1.2e-3 5.0e-3 9.9e-3   0.02   0.05    153   1.03
var_ind_temporal[190] 9.0e-3  5.8e-4 8.2e-3 1.0e-3 3.6e-3 6.7e-3   0.01   0.03    203   1.01
var_ind_temporal[191] 9.9e-3  1.1e-3   0.01 6.5e-4 3.5e-3 6.8e-3   0.01   0.04     91   1.03
var_ind_temporal[192]   0.01  7.6e-4   0.01 2.6e-3 6.4e-3   0.01   0.02   0.04    241   1.01
var_ind_temporal[193] 8.9e-3  6.9e-4 8.9e-3 5.5e-4 3.1e-3 5.9e-3   0.01   0.03    167   1.01
var_ind_temporal[194]   0.01  1.3e-3   0.01 5.2e-4 2.6e-3 5.5e-3   0.01   0.05    104   1.05
var_ind_temporal[195]   0.11  2.0e-3   0.06   0.04   0.08    0.1   0.14   0.24    744    1.0
var_ind_temporal[196] 9.1e-3  3.9e-4 6.5e-3 1.8e-3 4.4e-3 7.2e-3   0.01   0.03    277   1.02
var_ind_temporal[197]   0.01  9.4e-4   0.01 1.0e-3 4.5e-3 9.2e-3   0.02   0.05    185   1.02
var_ind_temporal[198]   0.02  1.6e-3   0.02 5.0e-4 4.6e-3   0.01   0.02   0.07    144   1.03
var_ind_temporal[199]   0.01  1.2e-3   0.01 4.7e-4 3.0e-3 6.2e-3   0.01   0.04    111   1.02
var_ind_temporal[200]   0.01  8.7e-4   0.01 1.1e-3 4.5e-3 8.5e-3   0.02   0.05    190   1.01
var_ind_temporal[201]   0.14  3.2e-3   0.07   0.05   0.09   0.12   0.18   0.31    510    1.0
var_ind_temporal[202]   0.01  1.5e-3   0.01 5.9e-4 2.7e-3 6.8e-3   0.01   0.05     75   1.04
var_ind_temporal[203] 9.7e-3  6.1e-4 8.0e-3 1.9e-3 4.7e-3 7.3e-3   0.01   0.03    171   1.02
