Inference for Stan model: anon_model_2a2618234cef00ff4e7128665fd75675.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                        mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_ind_temporal[151] 9.2e-3  9.1e-4   0.01 7.2e-4 3.1e-3 5.9e-3   0.01   0.04    137   1.03
var_ind_temporal[152] 5.4e-3  5.8e-4 6.2e-3 3.6e-4 1.9e-3 3.7e-3 6.6e-3   0.02    114   1.03
var_ind_temporal[153] 9.2e-3  9.7e-4   0.01 4.6e-4 2.6e-3 5.7e-3   0.01   0.04    202   1.02
var_ind_temporal[154]   0.02  2.0e-3   0.02 7.5e-4 4.2e-3 9.4e-3   0.02   0.07     95   1.05
var_ind_temporal[155]   0.14  3.0e-3   0.07   0.05   0.09   0.13   0.18   0.33    549    1.0
var_ind_temporal[156]   0.01  7.3e-4 9.1e-3 8.1e-4 4.4e-3 7.9e-3   0.01   0.03    157   1.02
var_ind_temporal[157] 7.2e-3  5.0e-4 6.4e-3 8.9e-4 3.1e-3 5.3e-3 9.2e-3   0.03    166   1.01
var_ind_temporal[158]   0.02  2.5e-3   0.03 1.4e-3 6.3e-3   0.01   0.03   0.11    144   1.01
var_ind_temporal[159]   0.01  1.3e-3   0.01 4.2e-4 3.9e-3 8.2e-3   0.01   0.04     74   1.03
var_ind_temporal[160] 6.7e-3  5.2e-4 7.0e-3 4.3e-4 2.3e-3 4.6e-3 8.4e-3   0.03    178   1.03
var_ind_temporal[161]   0.02  1.4e-3   0.02 1.2e-3 4.5e-3 9.2e-3   0.02   0.07    193   1.03
var_ind_temporal[162] 7.8e-3  8.4e-4 8.1e-3 4.6e-4 2.7e-3 5.4e-3 9.7e-3   0.03     94   1.03
var_ind_temporal[163] 4.8e-3  4.9e-4 5.2e-3 3.7e-4 1.5e-3 3.1e-3 6.1e-3   0.02    113   1.03
var_ind_temporal[164] 6.1e-3  6.0e-4 6.3e-3 6.8e-4 2.4e-3 4.3e-3 7.3e-3   0.02    108   1.05
var_ind_temporal[165]   0.01  1.2e-3   0.01 7.9e-4 3.7e-3 8.0e-3   0.02   0.06    133   1.02
var_ind_temporal[166] 8.2e-3  1.4e-3   0.01 5.3e-4 1.9e-3 4.2e-3   0.01   0.04     63   1.06
var_ind_temporal[167]   0.01  1.2e-3   0.01 6.4e-4 2.9e-3 6.2e-3   0.01   0.05    115   1.02
var_ind_temporal[168] 6.4e-3  7.0e-4 6.9e-3 5.1e-4 2.0e-3 4.1e-3 8.3e-3   0.03     97   1.03
var_ind_temporal[169] 8.1e-3  9.5e-4 8.6e-3 6.5e-4 2.3e-3 5.3e-3   0.01   0.03     83   1.03
var_ind_temporal[170] 6.2e-3  7.4e-4 7.0e-3 3.9e-4 1.8e-3 3.9e-3 7.8e-3   0.03     89   1.03
var_ind_temporal[171] 5.3e-3  4.5e-4 5.1e-3 5.9e-4 2.1e-3 3.7e-3 6.5e-3   0.02    130   1.02
var_ind_temporal[172]   0.01  8.6e-4   0.01 1.1e-3 4.5e-3 8.6e-3   0.02   0.04    175   1.01
var_ind_temporal[173]   0.01  9.7e-4   0.01 9.4e-4 3.7e-3 7.2e-3   0.01   0.04    108   1.02
var_ind_temporal[174] 8.4e-3  1.4e-3   0.01 2.8e-4 1.8e-3 4.6e-3 9.9e-3   0.04     62   1.04
var_ind_temporal[175] 5.7e-3  5.2e-4 6.4e-3 3.9e-4 2.0e-3 3.6e-3 7.1e-3   0.02    150   1.04
var_ind_temporal[176] 9.9e-3  4.5e-4 7.7e-3 1.8e-3 4.7e-3 7.9e-3   0.01   0.03    289    1.0
var_ind_temporal[177]   0.17  3.6e-3    0.1   0.05   0.11   0.15   0.21   0.42    730    1.0
var_ind_temporal[178] 7.9e-3  9.9e-4   0.01 3.9e-4 2.4e-3 4.8e-3 9.3e-3   0.04    107   1.02
var_ind_temporal[179] 7.3e-3  5.3e-4 6.7e-3 8.8e-4 3.0e-3 5.1e-3 9.4e-3   0.03    165   1.03
var_ind_temporal[180]   0.01  1.8e-3   0.03 4.6e-4 2.8e-3 6.1e-3   0.01   0.07    185   1.01
var_ind_temporal[181]   0.01  6.2e-4 8.8e-3 1.9e-3 5.2e-3 8.4e-3   0.01   0.03    203   1.01
var_ind_temporal[182] 7.6e-3  1.1e-3   0.01 3.4e-4 1.9e-3 3.9e-3 8.5e-3   0.04    101   1.03
var_ind_temporal[183]   0.03  1.7e-3   0.03 3.3e-3   0.01   0.03   0.04   0.09    274   1.01
var_ind_temporal[184] 6.0e-3  8.0e-4 8.1e-3 3.5e-4 1.6e-3 3.3e-3 7.1e-3   0.03    101   1.03
var_ind_temporal[185]   0.02  1.9e-3   0.02 8.1e-4 4.5e-3 9.9e-3   0.02   0.07    100   1.05
var_ind_temporal[186] 8.4e-3  7.3e-4 9.7e-3 6.5e-4 2.7e-3 5.6e-3   0.01   0.03    177   1.02
var_ind_temporal[187]   0.01  7.7e-4 9.6e-3 9.8e-4 4.0e-3 7.2e-3   0.01   0.04    157   1.01
var_ind_temporal[188]   0.01  5.1e-4 7.9e-3 2.0e-3 5.8e-3 9.1e-3   0.01   0.03    243   1.02
var_ind_temporal[189]   0.01  9.9e-4   0.01 9.0e-4 4.2e-3 9.0e-3   0.02   0.05    175    1.0
var_ind_temporal[190] 8.3e-3  6.1e-4 7.4e-3 9.5e-4 3.3e-3 6.2e-3   0.01   0.03    144   1.02
var_ind_temporal[191] 7.1e-3  1.1e-3 8.8e-3 5.6e-4 2.2e-3 4.3e-3 8.5e-3   0.03     70   1.05
var_ind_temporal[192]   0.01  7.2e-4 9.3e-3 2.3e-3 5.7e-3 9.5e-3   0.02   0.04    167   1.02
var_ind_temporal[193] 7.8e-3  7.3e-4 9.5e-3 6.8e-4 2.7e-3 5.2e-3 9.4e-3   0.03    170   1.04
var_ind_temporal[194] 9.0e-3  1.6e-3   0.02 4.1e-4 2.0e-3 4.5e-3   0.01   0.05     89   1.05
var_ind_temporal[195]   0.11  2.7e-3   0.05   0.04   0.07    0.1   0.13   0.24    354   1.01
var_ind_temporal[196] 9.0e-3  3.9e-4 7.3e-3 1.9e-3 4.4e-3 6.9e-3   0.01   0.03    356    1.0
var_ind_temporal[197]   0.01  1.1e-3   0.01 7.8e-4 4.2e-3 9.2e-3   0.02   0.04    122   1.02
var_ind_temporal[198]   0.02  1.8e-3   0.02 5.8e-4 4.2e-3 9.8e-3   0.02   0.07    116   1.05
var_ind_temporal[199]   0.01  8.7e-4   0.01 6.5e-4 3.4e-3 7.0e-3   0.01   0.04    157    1.0
var_ind_temporal[200]   0.01  9.4e-4   0.01 1.5e-3 5.0e-3 8.8e-3   0.02   0.05    174   1.01
var_ind_temporal[201]   0.15  3.3e-3   0.08   0.04   0.09   0.13   0.18   0.36    604    1.0
var_ind_temporal[202]   0.02  2.0e-3   0.02 8.5e-4 4.3e-3 9.5e-3   0.02   0.09    153    1.0
var_ind_temporal[203] 8.7e-3  4.8e-4 7.5e-3 1.4e-3 3.8e-3 6.5e-3   0.01   0.03    248   1.03
var_ind_temporal[204]   0.01  7.6e-4   0.01 1.7e-3 4.8e-3 8.2e-3   0.01   0.04    211   1.01
var_ind_temporal[205]   0.02  2.6e-3   0.02 4.6e-4 3.8e-3 9.6e-3   0.02   0.07     71   1.06
var_ind_temporal[206] 6.8e-3  9.0e-4 8.9e-3 3.3e-4 1.6e-3 3.9e-3 8.3e-3   0.03     97   1.02
var_ind_temporal[207] 8.7e-3  6.5e-4 8.2e-3 7.9e-4 3.5e-3 6.6e-3   0.01   0.03    159   1.01
var_ind_temporal[208]   0.01  5.6e-4   0.01 2.5e-3 7.4e-3   0.01   0.02   0.04    320   1.02
var_ind_temporal[209] 6.5e-3  5.2e-4 6.4e-3 5.9e-4 2.4e-3 4.6e-3 8.6e-3   0.02    150   1.03
